Academic Year,UniversityID,DegreeID,Degree,sameAsWikidata,sameAs,Ambit-id,AcademicLevelId,Credits,Offered Credits
2024-25,a62a164f781be26dd225dfda47b78c12,b9f1f54140aae74012dc5768ba59c3cc,INGENIERIA INFORMATICA,computer engineering,https://www.wikidata.org/wiki/Q428691,0957ac6a7296b4e6ef4d4e8d25691025,d6d85d89b4612501521435bd3f620a9a,240,492
2024-25,a62a164f781be26dd225dfda47b78c12,9ddf6d02aa6b4444f97e0ef96176ed1d,BIOTECNOLOGIA,biotechnology,https://www.wikidata.org/wiki/Q7108,0957ac6a7296b4e6ef4d4e8d25691025,d6d85d89b4612501521435bd3f620a9a,240,252
2024-25,a62a164f781be26dd225dfda47b78c12,020abbaeb3455045b900a89c8a695ec3,INGENIERIA AGRICOLA Y AGROALIMENTARIA,INGENIERIA AGRICOLA Y AGROALIMENTARIA,,0957ac6a7296b4e6ef4d4e8d25691025,d6d85d89b4612501521435bd3f620a9a,240,330
2024-25,a62a164f781be26dd225dfda47b78c12,e7e4355b3c3d58cf9d66b07c7c055271,INGENIERIA FORESTAL Y MEDIO NATURAL,INGENIERIA FORESTAL Y MEDIO NATURAL,,0957ac6a7296b4e6ef4d4e8d25691025,d6d85d89b4612501521435bd3f620a9a,240,276
2024-25,a62a164f781be26dd225dfda47b78c12,c8b05a3e95265c905506a96507dbb560,INGENIERIA ELECTRICA,electrical engineering,https://www.wikidata.org/wiki/Q43035,0957ac6a7296b4e6ef4d4e8d25691025,d6d85d89b4612501521435bd3f620a9a,240,276
2024-25,a62a164f781be26dd225dfda47b78c12,a07fd94e64750913f82adfb8599e24bb,INGENIERIA ELECTRONICA INDUSTRIAL Y AUTOMATICA,INGENIERIA ELECTRONICA INDUSTRIAL Y AUTOMATICA,,0957ac6a7296b4e6ef4d4e8d25691025,d6d85d89b4612501521435bd3f620a9a,240,294
2024-25,a62a164f781be26dd225dfda47b78c12,3a8aa47b6b1c1e5aa2bcd01f24ced891,INGENIERIA MECANICA,mechanical engineering,https://www.wikidata.org/wiki/Q101333,0957ac6a7296b4e6ef4d4e8d25691025,d6d85d89b4612501521435bd3f620a9a,240,312
2024-25,a62a164f781be26dd225dfda47b78c12,ae46d1baf91065adc798c35b3ce71355,DERECHO-ECONOMIA,economic law,https://www.wikidata.org/wiki/Q1752579,03b7c4d6f22bd8efa1659d8e6a06d97e,d6d85d89b4612501521435bd3f620a9a,376.5,144
2024-25,a62a164f781be26dd225dfda47b78c12,777c0366e959bb1eedcc43200291b8a8,ECONOMIA-DERECHO,economic law,https://www.wikidata.org/wiki/Q1752579,03b7c4d6f22bd8efa1659d8e6a06d97e,d6d85d89b4612501521435bd3f620a9a,372,388.5
2024-25,a62a164f781be26dd225dfda47b78c12,402c2c235be6d27bd0b3641e7c50ae7f,ADMINISTRACION Y DIRECCION DE EMPRESAS,business administration and management,https://www.wikidata.org/wiki/Q8188423,03b7c4d6f22bd8efa1659d8e6a06d97e,d6d85d89b4612501521435bd3f620a9a,240,322.5
2024-25,a62a164f781be26dd225dfda47b78c12,717e4b87179df0bed55c9525b8c57fb0,ECONOMIA,economics,https://www.wikidata.org/wiki/Q8134,03b7c4d6f22bd8efa1659d8e6a06d97e,d6d85d89b4612501521435bd3f620a9a,240,318
2024-25,a62a164f781be26dd225dfda47b78c12,ae46d1baf91065adc798c35b3ce71355,DERECHO-ECONOMIA,economic law,https://www.wikidata.org/wiki/Q1752579,03b7c4d6f22bd8efa1659d8e6a06d97e,d6d85d89b4612501521435bd3f620a9a,372,388.5
2024-25,a62a164f781be26dd225dfda47b78c12,884d78a2c8c46ff98230cec6f535a38a,CRIMINOLOGIA,criminology,https://www.wikidata.org/wiki/Q161733,03b7c4d6f22bd8efa1659d8e6a06d97e,d6d85d89b4612501521435bd3f620a9a,240,246
2024-25,a62a164f781be26dd225dfda47b78c12,4a3a00a6a21ec6c225c470b015de43c1,DERECHO,law,https://www.wikidata.org/wiki/Q7748,03b7c4d6f22bd8efa1659d8e6a06d97e,d6d85d89b4612501521435bd3f620a9a,240,307.5
2024-25,a62a164f781be26dd225dfda47b78c12,f90164f12a9c293db9afeda70b07b9d9,EDUCACION PRIMARIA-EDUCACION INFANTIL,early childhood education,https://www.wikidata.org/wiki/Q1472221,03b7c4d6f22bd8efa1659d8e6a06d97e,eb0a191797624dd3a48fa681d3061212,363,459
2024-25,a62a164f781be26dd225dfda47b78c12,04fd0d8a547a17bf0ee061c8270e1972,EDUCACION INFANTIL,preschool education in Spain,https://www.wikidata.org/wiki/Q3396243,03b7c4d6f22bd8efa1659d8e6a06d97e,eb0a191797624dd3a48fa681d3061212,240,459
2024-25,a62a164f781be26dd225dfda47b78c12,66c206794f40906b1c5393c4496d2706,EDUCACION PRIMARIA,primary education,https://www.wikidata.org/wiki/Q975085,03b7c4d6f22bd8efa1659d8e6a06d97e,eb0a191797624dd3a48fa681d3061212,240,432
2024-25,a62a164f781be26dd225dfda47b78c12,64e36d464ba01fbe2788a793acd102b8,ENFERMERIA,nursing,https://www.wikidata.org/wiki/Q121176,afc4b5d3b7e78e8fb66cf859c95aaefe,d6d85d89b4612501521435bd3f620a9a,240,258
2024-25,a62a164f781be26dd225dfda47b78c12,53eea58048b158c254ca293baecff382,FARMACIA,pharmacy,https://www.wikidata.org/wiki/Q614304,afc4b5d3b7e78e8fb66cf859c95aaefe,d6d85d89b4612501521435bd3f620a9a,300,322.5
