Municipality,same_as_wikidata_municipality,MunicipalityID,ProvinceID
Cerdanyola del Vallès,https://wikidata.org/entity/Q13922,e04ece893bad3d202b27b4d794871500,dea56e47f1c62c30b83b70eb281a6c39
Madrid,https://wikidata.org/entity/Q1753102,ed2539fe892d2c52c42a440354e8e3d5,ed2539fe892d2c52c42a440354e8e3d5
Getafe,https://wikidata.org/entity/Q8802,97607351b6327c59e5b58d20581e5a10,ed2539fe892d2c52c42a440354e8e3d5
A Coruña,https://wikidata.org/entity/Q8757,a7388c29b19e3614feba878558c8a4cc,a7388c29b19e3614feba878558c8a4cc
Alcalá de Henares,https://wikidata.org/entity/Q46940,de64d9e294065fdb1fd0e31604c40251,ed2539fe892d2c52c42a440354e8e3d5
San Vicente del Raspeig,https://wikidata.org/entity/Q491667,1f43582f8f04286902cb91c213ad1450,4280daa8edda936e79cd0c6781b35dec
Almería,https://wikidata.org/entity/Q10400,b92cf93d30857a0bf7e36b5ecde73cc6,b92cf93d30857a0bf7e36b5ecde73cc6
Barcelona,https://wikidata.org/entity/Q1492,dea56e47f1c62c30b83b70eb281a6c39,dea56e47f1c62c30b83b70eb281a6c39
Burgos,https://wikidata.org/entity/Q9580,bef5f2941cf5fb21c09c48c553ce841b,bef5f2941cf5fb21c09c48c553ce841b
Cádiz,https://wikidata.org/entity/Q15682,d1c96a38f655a21eeeb3b765905c3d62,d1c96a38f655a21eeeb3b765905c3d62
Santander,https://wikidata.org/entity/Q12233,8fbbf95f1e5678899cb285b6051846a7,dcb6b8f42e2f8f6c4a7ac754d6ab5e5e
Ciudad Real,https://wikidata.org/entity/Q15093,deae20b0dcaad78492b8e1664a0c87b6,deae20b0dcaad78492b8e1664a0c87b6
Córdoba,https://wikidata.org/entity/Q5818,82bd82854e66f8cd81809b92fa8d627e,82bd82854e66f8cd81809b92fa8d627e
Badajoz,https://wikidata.org/entity/Q15679,aaa987f19ba505d33fff6fabb9a0ca56,aaa987f19ba505d33fff6fabb9a0ca56
Granada,https://wikidata.org/entity/Q8810,9d3ae5b21c7c818ad1a25289a9f05392,9d3ae5b21c7c818ad1a25289a9f05392
Huelva,https://wikidata.org/entity/Q12246,52c5c619cd41b4df17507358dcd28112,52c5c619cd41b4df17507358dcd28112
Jaén,https://wikidata.org/entity/Q15681,43947625c64e661b42d657f05dffe848,43947625c64e661b42d657f05dffe848
Santa Cruz de Tenerife,https://wikidata.org/entity/Q14328,666db74cf1e60bf56dc48118aab2d2ef,666db74cf1e60bf56dc48118aab2d2ef
Logroño,https://wikidata.org/entity/Q14325,af9851d419c15b880ee57962c83d5594,3bc8ca785707d6969c1d341c8ae118f9
Las Palmas de Gran Canaria,https://wikidata.org/entity/Q11974,82c21e13fb779b79521be582fa892e3b,c89ea222a13ad9aec2cc98c232fe4661
León,https://wikidata.org/entity/Q15699,576fce76a8d504e00604cfbf71456823,576fce76a8d504e00604cfbf71456823
Lleida,https://wikidata.org/entity/Q15090,d13a94e9244fa8082eb6712ab963f7d5,d13a94e9244fa8082eb6712ab963f7d5
Málaga,https://wikidata.org/entity/Q8851,e9a2d15392a3f86c028abcb66c58e6ed,e9a2d15392a3f86c028abcb66c58e6ed
Murcia,https://wikidata.org/entity/Q12225,51788e90816f2fbc6a9642c459527d94,51788e90816f2fbc6a9642c459527d94
Oviedo,https://wikidata.org/entity/Q14317,f0315c325f79fd9e007ab900b8fe163b,5ffbfd8b2e2330f8f0a2ed1ea8ce5ea2
Salamanca,https://wikidata.org/entity/Q15695,848cded4ca550d5267e68a2c233140e7,848cded4ca550d5267e68a2c233140e7
Santiago de Compostela,https://wikidata.org/entity/Q14314,d77f619c5dcb4f90bdccba914f865e5f,a7388c29b19e3614feba878558c8a4cc
Seville,https://wikidata.org/entity/Q8717,ba5feb35eabd76f18fbe4b45531bc2ab,ba5feb35eabd76f18fbe4b45531bc2ab
Valladolid,https://wikidata.org/entity/Q8356,fcec2d8942df87fdcd27550e6383982a,fcec2d8942df87fdcd27550e6383982a
Vigo,https://wikidata.org/entity/Q8745,b737e588c11314cecf35749cb7684be2,3c0a1b2929c6c97bfba276f631d2db09
Zaragoza,https://wikidata.org/entity/Q10305,7b8e7b0f084ec0ac5fda8eabc030f923,7b8e7b0f084ec0ac5fda8eabc030f923
Leioa,https://wikidata.org/entity/Q530302,42dc29076d61743c60743a2c666bef77,c56b2d7b6d13f4c6e1be6bf933644c7d
Castelló de la Plana,https://wikidata.org/entity/Q15092,e51dada5eca4566e16b4ba7a21b32f4a,a2b703b543c46841e1c5dde0db8006f3
Elche,https://wikidata.org/entity/Q10509,5a6fcaf6eb1c2c9f23d060750c46b23e,4280daa8edda936e79cd0c6781b35dec
Cartagena,https://wikidata.org/entity/Q162615,af406275919b43fc8a50e63073a4fb2b,51788e90816f2fbc6a9642c459527d94
Pamplona,https://wikidata.org/entity/Q10282,1fda8dfc8ee175b560d25549af393f40,89481b89789d514c24bf4bb95be7d5cd
Móstoles,https://wikidata.org/entity/Q187826,30d55764f702e4deac3a9251fe7642ce,ed2539fe892d2c52c42a440354e8e3d5
Tarragona,https://wikidata.org/entity/Q15088,92b4d96f4fd15d0ea4da987e6150dead,92b4d96f4fd15d0ea4da987e6150dead
Girona,https://wikidata.org/entity/Q7038,db31870d6e036474b066f461a8097440,db31870d6e036474b066f461a8097440
Palma,https://wikidata.org/entity/Q8826,217f4aacc91dba034f40937f47d52d8f,d79d42b14aa16371cb70dbd04078cd67
Valencia,https://wikidata.org/entity/Q8818,c06b6e7e884c0492386fb823f9cf157f,6d08049c823a804dfd93b5ed0bbd232c
